name,rating,user_ratings_total,vicinity,latitude,longitude
Skałki Twardowskiego w Krakowie,4.8,3866,Kraków,50.04098859999999,19.903969
Kościół Najświętszego Salwatora w Krakowie,4.7,173,"Świętej Bronisławy 9, Kraków",50.0534171,19.9123028
Salwator,4.6,957,Kraków,50.0533654,19.9114444
Krowoderski Park,4.7,4621,"Jana Palacha 7, Kraków",50.0887558,19.92199
Park Tysiąclecia w Krakowie,4.6,3089,Kraków,50.0908409,19.9965723
Witkowice Park,4.7,760,Kraków,50.1093841,19.9548924
Park. Żeromskiego,4.7,1023,Kraków,50.0662978,20.0431559
Wanda Mound,4.2,1728,Kraków,50.0702204,20.0680738
Wawel Royal Castle-State Art Collection,4.7,150891,"Wawel 5, Kraków",50.0541115,19.935423
Rynek Główny,4.8,170127,"Rynek Główny, Kraków",50.0618971,19.936756
St. Mary's Basilica,4.8,16715,"plac Mariacki 5, Kraków",50.0616411,19.9393903
Wawel Cathedral,4.8,31858,"Wawel, Kraków",50.0546371,19.9354684
Sanktuarium Bożego Miłosierdzia,4.8,7393,"Siostry Faustyny 3, Kraków",50.01997599999999,19.9376677
Museum of Contemporary Art in Krakow MOCAK,4.5,5900,"Lipowa 4, Kraków",50.04762419999999,19.9615334
Muzeum Uniwersytetu Jagiellońskiego Collegium Maius,4.7,916,"Jagiellońska 15, Kraków",50.06156389999999,19.9339308
Muzeum Lotnictwa Polskiego,4.7,15090,"Aleja Jana Pawła II 39, Kraków",50.0769631,19.9897622
Park Ratuszowy w Krakowie,4.5,950,"Aleja Przyjaźni 4, Kraków",50.07566689999999,20.0395427
Park A. and E. Jerzmanowski,4.7,2492,"Górników 29, Kraków",50.01798849999999,19.9950861
Galicia Jewish Museum,4.4,1687,"Dajwór 18, Kraków",50.05084040000001,19.9497073
National Museum in Kraków,4.5,11346,"Aleja 3 Maja 1, Kraków",50.0600662,19.9238774
St. Florian's Church,4.8,1631,"Warszawska 1b, Kraków",50.06755889999999,19.9430019
Muzeum Inżynierii i Techniki,4.3,4053,"Św. Wawrzyńca 15, Kraków",50.049764,19.946822
Church of St. Barbara In Krakow,4.7,896,"Mały Rynek 9, Kraków",50.0613181,19.9398657
"St. Andrew's Church, Kraków",4.7,591,"Grodzka 54, Kraków",50.05658210000001,19.9383954
Botanical Garden of the Jagiellonian University,4.7,12311,"Mikołaja Kopernika 27, Kraków",50.0635669,19.9555311
Old Synagogue,4.4,4384,"Szeroka 24, Kraków",50.0514597,19.9485937
Kraków Zoo,4.6,25382,"aleja Kasy Oszczędności Miasta Krakowa 14, Kraków",50.0551528,19.8540181
Jama Michalika | Est. 1895,4.1,2292,"Floriańska 45, Kraków",50.0640872,19.9408794
Our Lady Queen of Poland Church,4.5,1560,"Obrońców Krzyża 1, Kraków",50.0849184,20.0293451
Roman Catholic Parish of the Holy Cross,4.8,704,"Świętego Krzyża 23, Kraków",50.0634005,19.9431772
Church of St. John the Baptist,4.4,542,"Dobrego Pasterza 117, Kraków",50.0894865,19.9701716
